GYR_X,GYR_Y,GYR_Z
-2.2842267,0.9096692,0.21977736
-2.7316377,0.6774416,0.30499852
-2.6389596,0.3812981,0.63096946
-1.7760954,0.21511683,1.3265871
-0.4104264,0.110720925,1.688777
0.98187417,0.24494424,1.3606756
2.0759008,0.022303974,1.0442921
2.6735141,-0.41338918,0.74708325
2.4093285,-1.1164637,0.24747424
1.2599082,-0.90767187,-0.2872885
-0.75983316,0.6529405,-0.44388238
-2.293814,1.6233964,-0.53442985
-2.7998145,0.53682667,-0.61752045
-2.7337682,0.079828255,-0.41512024
-2.189418,0.7615975,-0.07849667
-0.9877997,0.39195073,0.40939444
0.5142231,0.20552945,0.20486367
1.8798921,0.053196643,-0.004993427
2.8823059,-0.10552776,-0.12643357
2.906807,-1.2357733,-0.35440016
1.7115803,-1.3976935,-0.41831604
-0.44877592,0.31631696,-0.3714444
-2.109523,1.9312578,-0.22017685
-2.6027405,0.6891595,-0.2872885
-2.761465,-0.1758352,-0.3501391
-2.2959445,0.40899497,-0.0039281626
-1.1774168,-0.061851915,0.30393326
0.35443345,-0.19500998,0.14946991
1.855391,-0.31431958,0.065314025
2.966462,-0.30686274,0.16438362
3.1251862,-1.3359082,-0.085953526
2.0183766,-1.4498914,-0.05399559
-0.12706608,-0.27064374,-0.0657135
-2.1105886,1.3687983,-0.10619355
-2.9010146,0.95760614,-0.24680845
-3.0426948,0.06704508,-0.3533349
-2.431233,0.40047285,-0.10512828
-1.1774168,0.012716594,0.16651414
0.64418536,0.28329375,0.2900848
2.390154,-0.17690048,0.37637123
3.2040157,-1.1793143,0.15905729
2.862066,-1.7598834,-0.28941903
1.3781526,-1.0365689,-0.40553287
-1.1870042,0.727509,-0.77731013
-2.6634607,0.9384314,-0.547213
-2.7646608,-0.07996141,-0.4822319
-2.6911576,0.6646584,0.1409478
-1.6269584,0.9586714,0.78649807
-0.02267016,0.7456185,0.6916895
1.5443338,0.42710444,0.7279085
2.7587352,-0.5476125,0.28262797
3.4809844,-1.5894411,-0.49181926
2.6841667,-1.750296,-0.82950807
0.31182286,-0.47517452,-0.4460129
-2.0871527,1.263337,-0.20739366
-3.0618696,0.87877655,-0.0806272
-3.1087413,-0.31858066,-0.07636614
-2.7401597,0.4793024,0.15799204
-1.4234929,0.25346637,0.4104597
0.3139534,0.3663844,0.25599635
1.9448732,0.07130614,0.24108265
3.168862,-0.19927102,0.2037984
3.4777887,-1.0269815,0.1409478
2.1462083,-1.0525478,0.15905729
-0.36142424,0.2161821,0.24640898
-2.3971446,1.0311093,-0.03908189
-3.0661306,0.2428137,-0.22976422
-3.0096717,0.3120559,-0.29794115
-1.9550599,0.31525168,0.11964251
-0.35822845,0.45480132,0.062118232
1.5752264,0.501673,0.24001738
3.1901674,0.15120097,0.28156272
3.648231,-1.210207,-0.098736696
2.3613915,-1.5862453,-0.23402528
-0.23572305,-0.37717018,-0.098736696
-2.4663868,0.6209826,-0.398076
-3.1034148,-0.2184458,-0.5844973
-3.055478,0.035087146,-0.55253935
-1.8719692,0.62417835,0.28156272
-0.029061746,1.09396,0.23469107
2.020507,0.7679891,0.5798367
3.6631448,-0.8767792,0.3657186
3.3201296,-2.2392523,-0.37037912
1.3014535,-1.3412344,-0.1914147
-1.1337409,0.36744964,-0.13602096
-2.5814352,0.7370964,-0.42257708
-2.7998145,-0.28023112,-0.62391204
-2.3417509,0.84362286,-0.26278743
-0.81629217,1.4955647,0.22084263
1.0958575,1.1056778,0.21977736
2.5797708,-0.81286335,0.2219079
3.1869717,-2.5971813,-0.48436242
2.633034,-1.8770626,-0.64947844
1.041529,-0.3473428,-0.32776853
-1.1113704,0.1384178,-0.5376257
-2.3982098,-0.75640434,-0.7719838
-2.987301,-0.63709474,-0.77731013
-2.5686522,0.8148607,0.07277088
-1.041063,1.1110042,0.36465332
0.89345723,0.9000819,0.4466787
2.7118635,0.42816973,0.49781138
3.7441049,-1.4136724,0.31991223
2.71719,-2.3202126,0.3625228
-0.13984925,-0.5326988,0.15799204
-2.8317726,1.1493537,-0.059321914
-3.539108,0.6113952,-0.15626098
-3.3889058,0.5155214,-0.19993682
-1.8986008,0.0723714,0.4914198
0.13179319,0.3482749,0.5926199
2.3571305,0.9235177,0.730039
4.039183,0.65187526,0.56492305
3.7803237,-1.5915717,-0.16797888
1.4665695,-1.9931763,-0.48862347
-1.6599816,0.8819724,-0.16904415
-3.5167375,1.7895776,-0.19887155
-3.740443,-0.14707308,-0.21591578
-2.596349,0.6231131,0.25067005
-0.82055324,0.3024685,0.95374453
1.210906,0.2310958,0.95480984
3.1614053,0.49847716,0.42111236
3.974202,-0.3473428,0.08661931
2.6000109,-1.2091417,-0.09341037
-0.41468745,-0.92897713,-0.21271999
-2.7401597,1.1940949,-0.047604006
-3.2536173,0.26305375,-0.10299776
-3.1183286,0.078762986,-0.398076
-1.5161709,0.8553408,0.4818324
0.34591132,1.057741,0.8120644
2.1920147,0.1384178,0.75667065
3.6492963,-1.1995543,0.42643866
3.2807148,-1.7556224,-0.22443789
0.9307415,-0.9374993,0.25067005
-1.7366806,0.4622582,-0.03908189
-3.265335,0.9799767,-0.4279034
-3.5945017,-0.5571999,-0.45133922
-2.660265,0.51126033,-0.45346975
-0.8120311,0.687029,0.1409478
1.1278154,0.7360311,0.42643866
3.011203,-0.059721388,0.61285996
3.9614189,-1.286906,0.10366354
3.1092072,-1.669336,-0.176501
0.4428504,-0.714859,0.15373097
-2.212854,1.0790462,-0.39914125
-3.4187331,1.2143348,-0.5844973
-3.4602785,-0.48582715,-0.3735749
-2.0946095,0.7466838,-0.27130952
-0.25276726,1.021522,0.39874178
1.6828182,0.8265786,0.6000768
3.3893719,-0.20140156,0.5063335
3.7494311,-1.6490959,-0.020972393
2.317716,-1.4434999,0.15373097
-0.20376511,-0.09061406,0.3124554
-2.434429,0.9224524,-0.11684619
-3.261074,0.20552945,-0.34800857
-3.1833098,0.08621984,-0.377836
-1.6802216,0.85214496,-0.19461049
0.16801217,0.8532102,0.0930109
2.0663133,0.3994076,0.23575634
3.4351783,-0.694619,0.27091005
3.378719,-1.7513613,-0.21058947
1.93209,-1.7215339,0.0599877
-0.24211463,-0.33562487,0.10472881
-2.1105886,0.7850333,-0.38955387
-2.7188544,-0.095940374,-0.434295
-2.3854268,0.20659472,-0.93496925
-1.2605075,1.3208613,-0.44175184
0.30436602,0.727509,0.00885501
1.6966666,-0.62963784,0.6022073
2.3922844,-1.3518871,0.45626608
1.9384817,-0.51565456,0.3625228
0.5142231,-0.4240418,0.62138206
-1.1262841,-0.18755312,-0.08701879
-2.0264325,-0.12896357,-0.42470762
-2.2277675,0.078762986,-0.5685183
-1.8421417,1.3815814,-0.4556003
-0.92601436,1.6553544,-0.490754
-0.16328506,0.7669238,-0.51845086
0.08811734,0.07663246,-0.50140667
-0.053562827,0.42071286,-0.32137695
-0.3752727,1.2569455,-0.13069463
-0.62454456,1.7927735,-0.11578093
-0.6724815,1.8886472,-0.18395784
-0.59258664,1.9195399,-0.25213477
-0.5041697,1.7693377,-0.30646327
-0.41149166,1.2324444,-0.28835377
-0.32840106,0.71153,-0.30646327
-0.2612894,0.4824982,-0.3650528
-0.20376511,0.35573173,-0.3650528
-0.15689348,0.2460095,-0.36292228
-0.11215237,0.2609232,-0.361857
-0.04184492,0.38875493,-0.33309487
0.067877315,0.5101951,-0.23615581
0.16375111,0.4164518,-0.14667359
0.2447112,0.18209364,-0.025233451
0.32247552,-0.0384161,0.10153302
0.37254295,-0.14707308,0.21338578
0.3533682,-0.23868582,0.28369322
0.30649656,-0.23229423,0.3145859
0.25855964,-0.31005853,0.33695644
0.18292588,-0.39101863,0.32417327
