ACC_X,ACC_Y,ACC_Z
7.1466923,-3.4644098,-1.9608512
8.204929,-0.93014735,-4.321534
10.378864,-0.08619126,-3.739743
10.69011,-2.255338,-2.586935
12.665327,-4.0198646,-3.4261026
12.850878,-1.4065934,-4.06296
10.57878,-0.6691794,-3.4811692
10.222044,-2.4720132,-4.7022123
9.345766,-2.8898015,-2.8754363
9.980229,-3.3387144,-3.5122938
8.683769,-3.4045548,-1.0462662
4.074931,-3.4955344,1.8543092
0.8367735,-3.7936125,4.783615
3.0095115,-6.611588,0.8702923
7.5800424,-3.5637693,3.0933087
8.087613,-1.9165585,-1.3455414
7.5225816,-0.664391,5.5868697
3.6008794,-3.3530796,6.35062
5.717354,-5.5964465,8.656237
10.224439,-6.619968,8.9998045
10.673351,-2.9400797,4.823119
9.198523,0.56982,5.0014873
7.241263,-4.0174704,7.763199
5.1463366,-3.004723,10.992977
6.2368956,-3.952827,13.89475
6.3230867,-4.5501804,14.366407
5.3678,-0.79487497,11.23958
5.98311,-1.3850456,9.568427
1.7357962,-2.292448,11.246762
-0.7266402,-3.157952,10.821792
0.5793968,-3.228581,5.118803
1.2030864,-2.669535,4.485537
3.7828386,-5.2648497,2.743755
6.003461,-7.1909847,-3.0430303
10.187328,-5.979519,-6.0381765
9.892841,-2.1392193,-9.55047
12.313379,-2.0649989,-9.367314
15.19959,-4.2221746,-10.668563
12.491747,-4.31076,-10.341754
11.815386,-2.124854,-4.4675803
9.727641,-0.6607997,0.4441244
7.3789296,-2.1883004,0.6619968
7.78355,-1.1899183,0.4297592
7.914034,-0.010773907,0.79248077
7.487866,-0.10414778,1.6603789
7.189788,-2.3666685,-0.093373865
10.245986,-8.487445,-0.9828198
11.449073,-7.5549035,-4.4005427
9.537302,-1.4999673,-12.13142
8.746018,-0.07062895,-9.166202
9.035717,-5.009867,-1.9321208
8.355764,-1.0354922,0.4381389
7.9391727,1.9189527,9.070433
8.614338,0.21308395,8.91481
7.3202715,-3.4751837,4.855441
6.8450227,-2.1894975,-0.8367735
6.003461,0.37828386,-15.412673
12.91193,-5.403713,-9.546879
12.625823,-6.4739213,-10.255563
9.51336,-1.851915,-7.37055
8.236053,-4.3885717,-2.694674
7.2963295,-3.645172,0.90261406
8.3150625,-1.7968484,1.270124
9.03452,-1.7345991,1.435324
8.327033,-1.7429788,3.2824504
8.963891,-2.0745757,-0.33638534
9.349358,-1.8459295,-2.2589293
8.66701,-1.816002,-3.1148565
8.007407,-3.1244333,-2.7090392
7.443573,-4.0174704,-2.0278888
7.892486,-3.9228995,-1.3970166
8.662222,-3.4272997,-2.5605986
9.483433,-3.0909145,-3.74094
8.76637,-2.8000188,-4.373009
9.337387,-3.0909145,-4.830302
9.020155,-3.2190042,-2.8443117
9.069236,-3.58412,-1.2641385
9.28232,-3.9372647,-0.60693014
9.072827,-4.2102036,-1.1683705
8.603564,-4.3646297,-1.578976
8.440758,-4.2102036,-1.2988545
8.7532015,-4.056975,-1.7417817
8.1881695,-4.2580876,-1.436521
7.595605,-4.417302,-2.079364
8.376115,-4.6255975,-2.7222073
8.6813755,-4.7285485,-4.26527
9.479841,-5.3965306,-5.872977
9.55885,-5.9424086,-5.48751
8.656237,-5.729325,-3.8750155
8.127118,-5.5461683,-2.7593174
7.759608,-6.184223,-2.397793
7.345411,-5.90889,-2.9388826
8.090008,-5.5150437,-3.3770216
8.517372,-5.473145,-3.715801
8.184579,-5.3139305,-4.0641575
7.371747,-5.1822495,-4.1515455
7.1981673,-5.0397944,-4.3143516
8.136695,-4.630386,-3.9384618
8.503007,-4.0653543,-2.882619
7.680599,-3.6343982,-2.1559787
7.523779,-3.9025488,-1.9871874
7.8505874,-4.023456,-2.3750482
8.467094,-3.7936125,-2.4277205
8.737639,-3.6703112,-2.3259668
8.463503,-3.892972,-2.3894134
8.307879,-3.7062242,-2.2601264
8.356961,-3.4703953,-1.9500773
8.491036,-3.1711202,-1.6472107
8.437167,-3.3997664,-1.2892777
8.603564,-4.285621,-1.2617443
8.6334915,-3.954024,-1.4449008
8.513782,-3.7588966,-1.3970166
8.966286,-4.4005427,-1.1025299
9.015367,-4.3155484,-0.5398925
8.816648,-4.4460325,-0.062249243
8.331821,-4.820725,0.049081136
8.298303,-4.6926355,0.36990416
8.961497,-4.9057193,0.7194576
8.683769,-5.106832,0.7110779
8.507795,-4.995502,0.91219085
8.310274,-4.795586,1.4341269
8.431181,-4.617218,2.0745757
8.51857,-4.6112323,2.2505496
8.465898,-4.357447,1.8483237
9.018958,-4.4196963,1.5095441
8.955511,-4.3514614,1.4808137
8.676587,-4.155137,1.4101849
8.702923,-4.012682,1.4460979
8.693346,-3.846285,1.8614918
8.541314,-3.8630445,1.8435353
8.808268,-4.0078936,1.5394717
9.009381,-3.9719806,1.6472107
8.683769,-3.9145198,1.8411411
8.480263,-3.9097314,1.9153614
8.543709,-4.0019083,2.100912
8.435969,-4.2676644,2.303222
8.327033,-4.5777135,1.9057846
8.595184,-4.581305,1.2773066
9.001001,-4.6938324,0.4189853
9.491813,-4.7764325,0.2801216
9.242816,-4.8338933,0.6500258
8.485051,-4.7860093,1.210269
8.032547,-4.5382094,1.5358804
8.261193,-4.2197804,1.5813702
8.6574335,-4.000711,1.3275849
8.848969,-3.7708676,0.93613285
8.6574335,-3.630807,0.5650316
8.6574335,-3.6762967,0.61052144
8.748413,-3.954024,0.49919105
8.880095,-4.132392,0.2813187
9.033323,-4.1539397,0.11611878
9.149442,-4.209007,-0.41180268
9.5385,-4.390966,-0.37229836
9.309854,-4.507085,-0.23582886
9.205706,-4.277241,-0.1316811
8.895657,-4.096479,0.15801731
8.832211,-4.177882,0.12928689
8.959103,-4.1695023,-0.2681506
9.113529,-4.0294414,-0.11252748
9.100361,-4.201824,-0.01436521
8.761581,-4.203021,0.0047884034
