GYR_X,GYR_Y,GYR_Z
7.656588E-4,-0.008588694,-0.0060586915
-0.0045606634,-0.0384161,-0.0060586915
-0.0066911923,-0.07250456,-0.0039281626
-0.0045606634,-0.0682435,-0.007123956
0.0028961876,-0.011784487,-0.011385013
0.0039614523,0.034021884,-0.013515542
0.0018309233,0.044674527,-0.012450278
0.0018309233,0.03615241,-0.0039281626
0.0028961876,0.023369238,0.0024634239
0.0060919807,0.021238709,-0.0017976337
0.0050267167,0.03082609,-0.009254484
0.0028961876,0.027630296,-0.013515542
0.0028961876,0.016977651,-0.009254484
0.0018309233,0.0063250074,-0.004993427
0.0028961876,0.0031292143,-0.0039281626
0.0028961876,0.009520801,-0.004993427
0.0018309233,0.020173445,-0.004993427
0.0028961876,0.018042916,-0.004993427
0.0028961876,0.009520801,-0.007123956
0.0028961876,0.008455536,-0.0060586915
0.0018309233,0.0020639498,-0.0028628982
7.656588E-4,-0.00752343,3.3289514E-4
-0.00136487,-0.00752343,0.0024634239
0.0028961876,0.009520801,0.0035286883
0.0028961876,0.039348204,3.3289514E-4
0.0018309233,0.04041347,3.3289514E-4
0.0028961876,0.034021884,-7.323693E-4
0.0039614523,0.022303974,0.0013981595
0.0050267167,0.010586065,-0.0017976337
0.0039614523,0.007390272,-0.0017976337
0.0028961876,0.018042916,-0.0017976337
0.0039614523,0.026565032,3.3289514E-4
0.0039614523,0.027630296,-7.323693E-4
0.0028961876,0.018042916,3.3289514E-4
0.0028961876,0.013781859,0.0013981595
0.0039614523,9.986854E-4,0.004593953
0.0018309233,0.007390272,-0.0017976337
0.0018309233,0.016977651,-0.0039281626
0.0018309233,0.013781859,-0.004993427
0.0018309233,-0.0011318434,-0.0017976337
0.0018309233,-0.005392901,-7.323693E-4
0.0028961876,-6.657903E-5,-0.0017976337
0.0018309233,0.0041944785,-0.0028628982
0.0018309233,0.005259743,-0.0028628982
0.0039614523,0.007390272,-7.323693E-4
