ACC_X,ACC_Y,ACC_Z
0.91817635,-0.59376204,10.156203
0.90740246,-0.5446809,10.144233
0.92775315,-0.5279215,10.087969
0.9888053,-0.5506664,10.129868
1.0462662,-0.545878,10.230424
1.0175357,-0.5793968,10.087969
0.9983821,-0.5638345,10.149021
0.9756372,-0.557849,10.19092
0.973243,-0.5279215,10.125079
0.9911995,-0.5446809,10.199299
0.9864111,-0.533907,10.163386
0.9708488,-0.5386954,10.141838
0.9983821,-0.58418524,10.128671
1.0283096,-0.5662287,10.158598
1.067814,-0.5374983,10.107122
1.0510546,-0.5446809,10.143036
1.009156,-0.5530606,10.093954
0.9540894,-0.5638345,10.119094
0.9588778,-0.5566519,10.157401
1.0474633,-0.5506664,10.143036
1.0761937,-0.5267244,10.125079
0.9864111,-0.5770026,10.111911
0.93254155,-0.5554548,10.176555
0.94690675,-0.581791,10.147824
0.9864111,-0.5482722,10.127473
0.9696517,-0.5614403,10.116699
0.9792285,-0.5590461,10.13705
0.9768343,-0.5315128,10.152613
0.9588778,-0.5542577,10.085575
0.93134445,-0.5410896,10.109517
0.94570965,-0.5542577,10.19451
1.0151415,-0.5434838,10.158598
0.9816227,-0.5422867,10.115502
0.9911995,-0.5482722,10.120291
0.92057055,-0.52073884,10.200497
0.92535895,-0.5542577,10.139444
0.92416185,-0.5446809,10.143036
0.9768343,-0.5351041,10.140641
0.94810385,-0.5530606,10.151415
0.94092125,-0.5530606,10.104729
0.9576807,-0.5386954,10.141838
0.9588778,-0.5494693,10.16578
1.0055647,-0.545878,10.146626
0.9672575,-0.52073884,10.132261
0.9636662,-0.5446809,10.152613
0.94451255,-0.5470751,10.144233
0.9528923,-0.5303157,10.128671
0.8631097,-0.5363012,10.192117
0.91817635,-0.5722142,10.157401
0.9935937,-0.5650316,10.159795
1.0175357,-0.5602432,10.121488
0.9876082,-0.5494693,10.132261
0.9900024,-0.5734113,10.192117
0.9804256,-0.533907,10.1861315
0.9888053,-0.5482722,10.102334
0.9696517,-0.5626374,10.140641
1.0175357,-0.58777654,10.133459
1.0426749,-0.56982,10.120291
1.0354922,-0.5446809,10.139444
0.9564836,-0.59256494,10.141838
0.93493575,-0.5398925,10.232818
0.9648633,-0.51714754,10.07121
0.9888053,-0.5434838,10.127473
0.9816227,-0.59376204,10.198102
1.0271125,-0.5781997,10.168175
1.0342951,-0.5650316,10.125079
1.0271125,-0.5410896,10.120291
0.9983821,-0.5590461,10.129868
1.0115502,-0.5506664,10.16578
1.0079589,-0.51954174,10.107122
0.9648633,-0.5398925,10.146626
0.9792285,-0.58657944,10.169372
0.9995792,-0.58777654,10.188525
0.9935937,-0.5554548,10.075998
1.0342951,-0.5374983,10.103531
1.0283096,-0.5662287,10.172963
0.9900024,-0.5470751,10.072407
0.9995792,-0.5686229,10.0987425
0.9959879,-0.5758055,10.147824
0.9528923,-0.545878,10.1861315
0.93014735,-0.5518635,10.15381
0.93972415,-0.5554548,10.170568
0.985214,-0.5566519,10.181343
1.0690111,-0.5327099,10.149021
1.0319009,-0.5327099,10.126276
0.985214,-0.5243302,10.109517
0.93373865,-0.5410896,10.230424
1.246182,-0.5267244,10.1226845
1.2246342,-0.5542577,10.103531
1.2138603,-0.5482722,10.067618
1.0941502,-0.664391,10.17416
0.9911995,-0.6392518,10.151415
0.9959879,-0.5243302,10.120291
1.0486604,-0.49559975,10.196905
1.091756,-0.5279215,10.15381
1.103727,-0.5530606,10.03769
1.0247183,-0.58538234,10.14543
1.0342951,-0.557849,10.225636
1.0259154,-0.5267244,10.133459
0.94451255,-0.51235914,10.119094
0.9828198,-0.5386954,10.195708
1.0390835,-0.5566519,10.160992
1.2617443,-0.5805939,10.134656
1.2880806,-0.5410896,10.043676
1.1659763,-0.5434838,10.011354
1.0031705,-0.5554548,10.102334
0.9576807,-0.63087213,10.201694
1.0666169,-0.60214174,10.1143055
1.1348516,-0.51714754,10.081984
1.0714053,-0.51834464,10.111911
1.0115502,-0.5446809,10.141838
0.9744401,-0.5710171,10.163386
1.033098,-0.58777654,10.135853
1.1049241,-0.5674258,10.156203
1.0809821,-0.5398925,10.139444
1.0486604,-0.5566519,10.151415
0.9983821,-0.5602432,10.108319
0.9983821,-0.5291186,10.133459
1.043872,-0.5482722,10.17416
1.0139444,-0.5638345,10.102334
1.0235212,-0.5374983,10.127473
1.0510546,-0.5638345,10.158598
1.1252748,-0.5386954,10.089166
1.067814,-0.5398925,10.1382475
0.9900024,-0.5710171,10.133459
0.9504981,-0.58897364,10.199299
0.9983821,-0.5614403,10.151415
1.0259154,-0.5231331,10.164583
1.021127,-0.5734113,10.152613
1.0606314,-0.581791,10.107122
1.0223241,-0.5470751,10.133459
